,HK/1/68,HK/107/71,BI/21793/72,EN/42/72
BI/15793/68,354,*,*,501
BI/16190/68,640,*,640,320
BI/16398/68,1163,*,*,1163
HK/1/68,1280,1280,*,2560
BI/808/69,320,*,*,640
BI/908/69,1280,*,*,640
BI/17938/69,554,*,*,453
BI/93/70,1109,*,*,640
BI/2668/70,320,*,*,320
BI/6449/71,165,*,*,392
BI/21438/71,905,*,*,905
BI/21801/71,905,*,*,905
HK/107/71,*,5120,*,320
BI/6022/72,453,*,*,905
BI/21793/72,80,*,1280,1280
BI/23290/72,80,*,*,640
BI/23337/72,80,*,*,640
EN/42/72,*,80,*,5120
BI/552/73,160,*,*,640
BI/748/73,52,*,*,640
BI/3517/73,80,*,*,1280
PC/1/73,68,<10,*,640
BI/5146/74,40,*,*,320
BI/5930/74,40,*,640,320
BI/5931/74,16,*,*,291
BI/7398/74,20,*,*,320
BI/9459/74,60,*,*,392
BI/334/75,<10,*,*,320
BI/1843/75,40,*,*,160
BI/2600/75,80,*,*,320
BI/2813/75,40,*,320,320
BI/4273/75,40,*,*,320
VI/3/75,*,<10,*,320
BI/628/76,<10,*,*,120
BI/1761/76,<10,*,*,320
BI/2271/76,<10,*,*,120
BI/5029/76,<10,*,*,160
BI/5168/76,<10,*,*,160
BI/5657/76,<10,*,*,160
BI/6545/76,*,*,*,210
