,PC/1/73,BI/5930/74,SL/840/74,VI/3A/75
BI/15793/68,109,*,*,63
BI/16190/68,80,320,40,40
BI/16398/68,291,*,73,89
HK/1/68,53,*,<10,*
BI/808/69,120,*,80,160
BI/908/69,80,*,40,57
BI/17938/69,113,*,42,46
BI/93/70,*,*,57,46
BI/2668/70,80,*,24,46
BI/6449/71,57,*,*,35
BI/21438/71,139,*,98,89
BI/21801/71,160,*,98,87
HK/107/71,1280,*,320,*
BI/6022/72,226,*,226,184
BI/21793/72,1280,1280,640,160
BI/23290/72,640,*,320,226
BI/23337/72,640,*,320,226
EN/42/72,1280,*,640,*
BI/552/73,1280,*,640,226
BI/748/73,1280,*,291,135
BI/3517/73,1280,*,320,101
PC/1/73,1227,*,640,*
BI/5146/74,640,*,640,80
BI/5930/74,2560,1280,160,160
BI/5931/74,905,*,80,320
BI/7398/74,2560,*,320,80
BI/9459/74,2560,*,320,254
BI/334/75,1280,*,160,160
BI/1843/75,1280,*,160,160
BI/2600/75,1280,*,2560,40
BI/2813/75,1280,1280,160,80
BI/4273/75,640,*,2560,40
VI/3/75,1280,*,320,*
BI/628/76,320,*,80,80
BI/1761/76,320,*,160,1016
BI/2271/76,640,*,160,160
BI/5029/76,160,*,40,905
BI/5168/76,640,*,80,1280
BI/5657/76,320,*,80,905
BI/6545/76,320,*,80,905
